Source,Target,Weight
163081406,242838372,85
163081406,4010289471,71
163081429,272856456,14
163081429,272856453,136
163081429,246806371,29
163081506,246806371,15
163081506,246806368,118
163081506,247170146,437
163081506,272856456,29
164894940,8408660400,75
164894940,8408660399,64
164894940,5628268287,38
164894958,164894965,25
164894958,184314675,154
164894965,243352513,405
164894965,184314682,156
164894984,599341968,313
164894984,3019848617,30
164894984,241778108,24
164894984,298897163,241
164895002,268480787,420
164895002,268542717,335
164895002,304634267,259
164895026,2949521021,356
164895026,303842224,415
164895026,268480772,133
165109380,3348666423,172
165109380,244401186,139
165109380,165109705,9
165109380,3284866007,82
165109399,11847001497,123
165109399,165109404,108
165109399,3348666423,122
165109404,304057192,128
165109404,165109414,141
165109404,165109998,41
165109414,3212216736,31
165109414,165109420,50
165109414,267860914,37
165109420,243778483,66
165109420,267860914,75
165109432,2961797143,132
165109432,165109442,193
165109432,167105527,45
165109432,243778483,106
165109442,165109449,269
165109442,4147505980,62
165109449,165109618,19
165109449,165109453,180
165109449,243791011,95
165109453,165109710,17
165109453,243789827,87
165109460,1986129440,24
165109460,165109463,17
165109460,425808764,32
165109460,1986129474,15
165109460,2790412109,25
165109463,297067817,24
165109463,425808764,26
165109463,1986129434,29
165109489,165109559,34
165109489,1300768538,200
165109489,1986129367,30
165109489,3178926211,67
165109504,1190764013,44
165109504,165109510,43
165109504,1300768538,48
165109504,6711658683,10
165109510,3951590094,41
165109518,165109960,105
165109518,3740716009,23
165109518,3951584303,364
165109530,165109537,50
165109530,165109927,56
165109530,165109960,61
165109530,3951590094,5
165109537,165109545,38
165109537,6711658683,34
165109537,165109904,63
165109545,165109559,238
165109545,165109904,85
165109559,185460598,136
165109559,1986129367,28
165109574,1986129519,30
165109574,165109578,22
165109574,425808764,14
165109574,1986129474,32
165109574,1986129497,25
165109578,312606382,24
165109578,1986129474,24
165109578,1986129521,34
165109595,165109601,47
165109595,173178337,121
165109595,312606382,123
165109601,2790412117,63
165109601,425808778,392
165109618,173178337,171
165109618,1292291928,300
165109618,2790412072,90
165109671,165109685,127
165109671,232400796,74
165109671,165109998,41
165109685,232451947,40
165109685,339867390,49
165109698,165109705,95
165109698,232451955,64
165109698,339867390,92
165109705,300461040,81
165109705,300461063,53
165109710,243789829,91
165109710,185460602,400
165109844,228754829,88
165109844,165109853,119
165109844,185460721,190
165109853,167074470,22
165109853,167074415,76
165109853,165109863,22
165109863,321873626,193
165109863,167074474,21
165109863,252734174,441
165109897,185460696,128
165109897,173178417,268
165109897,185460708,429
165109897,271936204,17
165109904,185460696,36
165109927,271936204,140
165109927,165109960,76
165109974,304057189,124
165109974,665618025,85
165109974,3202873034,134
165109998,3212216736,98
165110005,11847001497,247
165110005,665618027,115
165110005,304057192,84
167074387,167074502,13
167074387,252734174,187
167074387,3258224161,26
167074387,6582106400,11
167074415,167074426,102
167074415,228754829,124
167074426,3317615042,5
167074426,244892951,104
167074433,244400416,40
167074433,227529751,84
167074433,2898266969,69
167074433,241937242,149
167074470,167074474,18
167074470,185553764,90
167074470,244892951,79
167074474,167074477,132
167074474,185553764,88
167074477,4557106584,175
167074477,243668312,314
167074502,167074554,13
167074502,1417526670,168
167074502,245974967,186
167074547,2013583268,9
167074547,305594499,60
167074547,6582106400,85
167074554,6582106400,15
167074554,167074626,316
167074554,167074576,189
167074576,167074580,36
167074576,1415175072,26
167074580,1417526675,7
167074580,1415175072,38
167074580,9094433052,17
167074626,167074629,187
167074626,243668289,38
167074626,1084591075,26
167074629,6327488966,30
167074629,257972490,35
167074634,321988765,149
167074634,167074638,37
167074634,257972490,13
167074638,171222063,98
167074638,245974976,153
167074698,185460478,84
167074698,6705567029,108
167074698,1656564684,61
167074698,5904840520,349
167074706,167074710,227
167074706,185460482,103
167074706,173178545,13
167074706,185460478,148
167074710,167074844,17
167074710,311407969,154
167074710,185460508,210
167074758,167074764,181
167074758,185460559,56
167074758,1986129519,212
167074764,167074776,132
